date,artist,title,peakPos,lastPos,weeks,rank,change,list
2008-07-26,Jordin Sparks Duet With Chris Brown,No Air,2,16,25,19,-3,pop
2008-07-19,Jordin Sparks Duet With Chris Brown,No Air,2,16,24,16,0,pop
2008-07-12,Jordin Sparks Duet With Chris Brown,No Air,2,13,23,16,-3,pop
2008-07-05,Jordin Sparks Duet With Chris Brown,No Air,2,10,22,13,-3,pop
2008-06-28,Jordin Sparks Duet With Chris Brown,No Air,2,6,21,10,-4,pop
2008-06-21,Jordin Sparks Duet With Chris Brown,No Air,2,5,20,6,-1,pop
2008-06-14,Jordin Sparks Duet With Chris Brown,No Air,2,3,19,5,-2,pop
2008-06-07,Jordin Sparks Duet With Chris Brown,No Air,2,2,18,3,-1,pop
2008-05-31,Jordin Sparks Duet With Chris Brown,No Air,2,2,17,2,0,pop
2008-05-24,Jordin Sparks Duet With Chris Brown,No Air,2,2,16,2,0,pop
2008-05-17,Jordin Sparks Duet With Chris Brown,No Air,2,2,15,2,0,pop
2008-05-10,Jordin Sparks Duet With Chris Brown,No Air,2,2,14,2,0,pop
2008-05-03,Jordin Sparks Duet With Chris Brown,No Air,2,2,13,2,0,pop
2008-04-26,Jordin Sparks Duet With Chris Brown,No Air,2,3,12,2,+1,pop
2008-04-19,Jordin Sparks Duet With Chris Brown,No Air,2,4,11,3,+1,pop
2008-04-12,Jordin Sparks Duet With Chris Brown,No Air,2,7,10,4,+3,pop
2008-04-05,Jordin Sparks Duet With Chris Brown,No Air,2,7,9,7,0,pop
2008-03-29,Jordin Sparks Duet With Chris Brown,No Air,2,8,8,7,+1,pop
2008-03-22,Jordin Sparks Duet With Chris Brown,No Air,2,13,7,8,+5,pop
2008-03-15,Jordin Sparks Duet With Chris Brown,No Air,2,17,6,13,+4,pop
2008-03-08,Jordin Sparks Duet With Chris Brown,No Air,2,19,5,17,+2,pop
2008-03-01,Jordin Sparks Duet With Chris Brown,No Air,2,25,4,19,+6,pop
2008-02-23,Jordin Sparks Duet With Chris Brown,No Air,2,32,3,25,+7,pop
2008-02-16,Jordin Sparks Duet With Chris Brown,No Air,2,34,2,32,+2,pop
2008-02-09,Jordin Sparks Duet With Chris Brown,No Air,2,0,1,34,Hot Shot Debut,pop
2008-08-09,Jordin Sparks Duet With Chris Brown,No Air,4,43,21,47,-4,r-b-hip-hop
2008-08-02,Jordin Sparks Duet With Chris Brown,No Air,4,30,20,43,-13,r-b-hip-hop
2008-07-26,Jordin Sparks Duet With Chris Brown,No Air,4,25,19,30,-5,r-b-hip-hop
2008-07-19,Jordin Sparks Duet With Chris Brown,No Air,4,26,18,25,+1,r-b-hip-hop
2008-07-12,Jordin Sparks Duet With Chris Brown,No Air,4,16,17,26,-10,r-b-hip-hop
2008-07-05,Jordin Sparks Duet With Chris Brown,No Air,4,11,16,16,-5,r-b-hip-hop
2008-06-28,Jordin Sparks Duet With Chris Brown,No Air,4,12,15,11,+1,r-b-hip-hop
2008-06-21,Jordin Sparks Duet With Chris Brown,No Air,4,10,14,12,-2,r-b-hip-hop
2008-06-14,Jordin Sparks Duet With Chris Brown,No Air,4,8,13,10,-2,r-b-hip-hop
2008-06-07,Jordin Sparks Duet With Chris Brown,No Air,4,4,12,8,-4,r-b-hip-hop
2008-05-31,Jordin Sparks Duet With Chris Brown,No Air,4,5,11,4,+1,r-b-hip-hop
2008-05-24,Jordin Sparks Duet With Chris Brown,No Air,4,5,10,5,0,r-b-hip-hop
2008-05-17,Jordin Sparks Duet With Chris Brown,No Air,4,7,9,5,+2,r-b-hip-hop
2008-05-10,Jordin Sparks Duet With Chris Brown,No Air,4,8,8,7,+1,r-b-hip-hop
2008-05-03,Jordin Sparks Duet With Chris Brown,No Air,4,12,7,8,+4,r-b-hip-hop
2008-04-26,Jordin Sparks Duet With Chris Brown,No Air,4,19,6,12,+7,r-b-hip-hop
2008-04-19,Jordin Sparks Duet With Chris Brown,No Air,4,30,5,19,+11,r-b-hip-hop
2008-04-12,Jordin Sparks Duet With Chris Brown,No Air,4,47,4,30,+17,r-b-hip-hop
2008-04-05,Jordin Sparks Duet With Chris Brown,No Air,4,55,3,47,+8,r-b-hip-hop
2016-02-20,Post Malone,White Iverson,27,32,10,37,-5,pop
2016-02-13,Post Malone,White Iverson,27,31,9,32,-1,pop
2016-02-06,Post Malone,White Iverson,27,27,8,31,-4,pop
2016-01-30,Post Malone,White Iverson,27,32,7,27,+5,pop
2016-01-23,Post Malone,White Iverson,27,29,6,32,-3,pop
2016-01-16,Post Malone,White Iverson,27,31,5,29,+2,pop
2016-01-09,Post Malone,White Iverson,27,33,4,31,+2,pop
2016-01-02,Post Malone,White Iverson,27,37,3,33,+4,pop
2015-12-26,Post Malone,White Iverson,27,38,2,37,+1,pop
2015-12-19,Post Malone,White Iverson,27,0,1,38,Hot Shot Debut,pop
2016-06-18,Post Malone,Go Flex,43,48,4,45,+3,r-b-hip-hop
2016-06-11,Post Malone,Go Flex,43,0,3,48,Re-Entry,r-b-hip-hop
2016-05-28,Post Malone,Go Flex,43,0,2,49,Re-Entry,r-b-hip-hop
2016-05-14,Post Malone,Go Flex,43,0,1,43,New,r-b-hip-hop
2016-02-27,Post Malone,White Iverson,5,10,26,13,-3,r-b-hip-hop
2016-02-20,Post Malone,White Iverson,5,7,25,10,-3,r-b-hip-hop
2016-02-13,Post Malone,White Iverson,5,7,24,7,0,r-b-hip-hop
2016-02-06,Post Malone,White Iverson,5,7,23,7,0,r-b-hip-hop
2016-01-30,Post Malone,White Iverson,5,5,22,7,-2,r-b-hip-hop
2016-01-23,Post Malone,White Iverson,5,6,21,5,+1,r-b-hip-hop
2016-01-16,Post Malone,White Iverson,5,10,20,6,+4,r-b-hip-hop
2016-01-09,Post Malone,White Iverson,5,10,19,10,0,r-b-hip-hop
2016-01-02,Post Malone,White Iverson,5,10,18,10,0,r-b-hip-hop
2015-12-26,Post Malone,White Iverson,5,9,17,10,-1,r-b-hip-hop
2015-12-19,Post Malone,White Iverson,5,10,16,9,+1,r-b-hip-hop
2015-12-12,Post Malone,White Iverson,5,11,15,10,+1,r-b-hip-hop
2015-12-05,Post Malone,White Iverson,5,11,14,11,0,r-b-hip-hop
2015-11-28,Post Malone,White Iverson,5,14,13,11,+3,r-b-hip-hop
2015-11-21,Post Malone,White Iverson,5,14,12,14,0,r-b-hip-hop
2015-11-14,Post Malone,White Iverson,5,17,11,14,+3,r-b-hip-hop
2015-11-07,Post Malone,White Iverson,5,17,10,17,0,r-b-hip-hop
2015-10-31,Post Malone,White Iverson,5,17,9,17,0,r-b-hip-hop
2015-10-24,Post Malone,White Iverson,5,25,8,17,+8,r-b-hip-hop
2015-10-17,Post Malone,White Iverson,5,26,7,25,+1,r-b-hip-hop
2015-10-10,Post Malone,White Iverson,5,23,6,26,-3,r-b-hip-hop
2015-10-03,Post Malone,White Iverson,5,29,5,23,+6,r-b-hip-hop
2015-09-26,Post Malone,White Iverson,5,37,4,29,+8,r-b-hip-hop
2015-09-19,Post Malone,White Iverson,5,36,3,37,-1,r-b-hip-hop
2015-09-12,Post Malone,White Iverson,5,47,2,36,+11,r-b-hip-hop
2015-09-05,Post Malone,White Iverson,5,0,1,47,New,r-b-hip-hop
2016-03-05,Travi$ Scott,Antidote,25,26,9,38,-12,pop
2016-02-27,Travi$ Scott,Antidote,25,25,8,26,-1,pop
2016-02-20,Travi$ Scott,Antidote,25,26,7,25,+1,pop
2016-02-13,Travi$ Scott,Antidote,25,28,6,26,+2,pop
2016-02-06,Travi$ Scott,Antidote,25,28,5,28,0,pop
2016-01-30,Travi$ Scott,Antidote,25,34,4,28,+6,pop
2016-01-23,Travi$ Scott,Antidote,25,37,3,34,+3,pop
2016-01-16,Travi$ Scott,Antidote,25,39,2,37,+2,pop
2016-01-09,Travi$ Scott,Antidote,25,0,1,39,Hot Shot Debut,pop
2016-03-12,Travi$ Scott,Antidote,7,12,26,16,-4,r-b-hip-hop
2016-03-05,Travi$ Scott,Antidote,7,12,25,12,0,r-b-hip-hop
2016-02-27,Travi$ Scott,Antidote,7,12,24,12,0,r-b-hip-hop
2016-02-20,Travi$ Scott,Antidote,7,10,23,12,-2,r-b-hip-hop
2016-02-13,Travi$ Scott,Antidote,7,9,22,10,-1,r-b-hip-hop
2016-02-06,Travi$ Scott,Antidote,7,8,21,9,-1,r-b-hip-hop
2016-01-30,Travi$ Scott,Antidote,7,9,20,8,+1,r-b-hip-hop
2016-01-23,Travi$ Scott,Antidote,7,7,19,9,-2,r-b-hip-hop
2016-01-16,Travi$ Scott,Antidote,7,7,18,7,0,r-b-hip-hop
2016-01-09,Travi$ Scott,Antidote,7,8,17,7,+1,r-b-hip-hop
2016-01-02,Travi$ Scott,Antidote,7,7,16,8,-1,r-b-hip-hop
2015-12-26,Travi$ Scott,Antidote,7,8,15,7,+1,r-b-hip-hop
2015-12-19,Travi$ Scott,Antidote,7,8,14,8,0,r-b-hip-hop
2015-12-12,Travi$ Scott,Antidote,7,9,13,8,+1,r-b-hip-hop
2015-12-05,Travi$ Scott,Antidote,7,10,12,9,+1,r-b-hip-hop
2015-11-28,Travi$ Scott,Antidote,7,11,11,10,+1,r-b-hip-hop
2015-11-21,Travi$ Scott,Antidote,7,13,10,11,+2,r-b-hip-hop
2015-11-14,Travi$ Scott,Antidote,7,13,9,13,0,r-b-hip-hop
2015-11-07,Travi$ Scott,Antidote,7,16,8,13,+3,r-b-hip-hop
2015-10-31,Travi$ Scott,Antidote,7,15,7,16,-1,r-b-hip-hop
2015-10-24,Travi$ Scott,Antidote,7,24,6,15,+9,r-b-hip-hop
2015-10-17,Travi$ Scott,Antidote,7,22,5,24,-2,r-b-hip-hop
2015-10-10,Travi$ Scott,Antidote,7,24,4,22,+2,r-b-hip-hop
2015-10-03,Travi$ Scott,Antidote,7,24,3,24,0,r-b-hip-hop
2015-09-26,Travi$ Scott,Antidote,7,0,2,24,Re-Entry,r-b-hip-hop
2015-09-12,Travi$ Scott,Antidote,7,0,1,48,New,r-b-hip-hop
2016-10-01,Justin Timberlake,Can't Stop The Feeling!,1,17,20,17,0,pop
2016-09-24,Justin Timberlake,Can't Stop The Feeling!,1,15,19,17,-2,pop
2016-09-17,Justin Timberlake,Can't Stop The Feeling!,1,11,18,15,-4,pop
2016-09-10,Justin Timberlake,Can't Stop The Feeling!,1,9,17,11,-2,pop
2016-09-03,Justin Timberlake,Can't Stop The Feeling!,1,7,16,9,-2,pop
2016-08-27,Justin Timberlake,Can't Stop The Feeling!,1,6,15,7,-1,pop
2016-08-20,Justin Timberlake,Can't Stop The Feeling!,1,6,14,6,0,pop
2016-08-13,Justin Timberlake,Can't Stop The Feeling!,1,6,13,6,0,pop
2016-08-06,Justin Timberlake,Can't Stop The Feeling!,1,4,12,6,-2,pop
2016-07-30,Justin Timberlake,Can't Stop The Feeling!,1,3,11,4,-1,pop
2016-07-23,Justin Timberlake,Can't Stop The Feeling!,1,2,10,3,-1,pop
2016-07-16,Justin Timberlake,Can't Stop The Feeling!,1,2,9,2,0,pop
2016-07-09,Justin Timberlake,Can't Stop The Feeling!,1,1,8,2,-1,pop
2016-07-02,Justin Timberlake,Can't Stop The Feeling!,1,1,7,1,0,pop
2016-06-25,Justin Timberlake,Can't Stop The Feeling!,1,1,6,1,0,pop
2016-06-18,Justin Timberlake,Can't Stop The Feeling!,1,3,5,1,+2,pop
2016-06-11,Justin Timberlake,Can't Stop The Feeling!,1,6,4,3,+3,pop
2016-06-04,Justin Timberlake,Can't Stop The Feeling!,1,10,3,6,+4,pop
2016-05-28,Justin Timberlake,Can't Stop The Feeling!,1,24,2,10,+14,pop
2016-05-21,Justin Timberlake,Can't Stop The Feeling!,1,0,1,24,Hot Shot Debut,pop
2016-03-05,Justin Timberlake,Drink You Away,32,36,6,40,-4,pop
2016-02-27,Justin Timberlake,Drink You Away,32,32,5,36,-4,pop
2016-02-20,Justin Timberlake,Drink You Away,32,35,4,32,+3,pop
2016-02-13,Justin Timberlake,Drink You Away,32,36,3,35,+1,pop
2016-02-06,Justin Timberlake,Drink You Away,32,38,2,36,+2,pop
2016-01-30,Justin Timberlake,Drink You Away,32,0,1,38,New,pop
2014-07-26,Justin Timberlake,Not A Bad Thing,1,15,20,18,-3,pop
2014-07-19,Justin Timberlake,Not A Bad Thing,1,14,19,15,-1,pop
2014-07-12,Justin Timberlake,Not A Bad Thing,1,13,18,14,-1,pop
2014-07-05,Justin Timberlake,Not A Bad Thing,1,8,17,13,-5,pop
2014-06-28,Justin Timberlake,Not A Bad Thing,1,3,16,8,-5,pop
2014-06-21,Justin Timberlake,Not A Bad Thing,1,1,15,3,-2,pop
2014-06-14,Justin Timberlake,Not A Bad Thing,1,1,14,1,0,pop
2014-06-07,Justin Timberlake,Not A Bad Thing,1,2,13,1,+1,pop
2014-05-31,Justin Timberlake,Not A Bad Thing,1,2,12,2,0,pop
2014-05-24,Justin Timberlake,Not A Bad Thing,1,3,11,2,+1,pop
2014-05-17,Justin Timberlake,Not A Bad Thing,1,5,10,3,+2,pop
2014-05-10,Justin Timberlake,Not A Bad Thing,1,5,9,5,0,pop
2014-05-03,Justin Timberlake,Not A Bad Thing,1,9,8,5,+4,pop
2014-04-26,Justin Timberlake,Not A Bad Thing,1,10,7,9,+1,pop
2014-04-19,Justin Timberlake,Not A Bad Thing,1,12,6,10,+2,pop
2014-04-12,Justin Timberlake,Not A Bad Thing,1,15,5,12,+3,pop
2014-04-05,Justin Timberlake,Not A Bad Thing,1,20,4,15,+5,pop
2014-03-29,Justin Timberlake,Not A Bad Thing,1,26,3,20,+6,pop
2014-03-22,Justin Timberlake,Not A Bad Thing,1,38,2,26,+12,pop
2014-03-15,Justin Timberlake,Not A Bad Thing,1,0,1,38,New,pop
2014-02-15,Justin Timberlake,TKO,12,0,18,40,Re-Entry,pop
2014-02-01,Justin Timberlake,TKO,12,32,17,35,-3,pop
2014-01-25,Justin Timberlake,TKO,12,31,16,32,-1,pop
2014-01-18,Justin Timberlake,TKO,12,31,15,31,0,pop
2014-01-11,Justin Timberlake,TKO,12,30,14,31,-1,pop
2014-01-04,Justin Timberlake,TKO,12,21,13,30,-9,pop
2013-12-28,Justin Timberlake,TKO,12,21,12,21,0,pop
2013-12-21,Justin Timberlake,TKO,12,15,11,21,-6,pop
2013-12-14,Justin Timberlake,TKO,12,14,10,15,-1,pop
2013-12-07,Justin Timberlake,TKO,12,14,9,14,0,pop
2013-11-30,Justin Timberlake,TKO,12,12,8,14,-2,pop
2013-11-23,Justin Timberlake,TKO,12,13,7,12,+1,pop
2013-11-16,Justin Timberlake,TKO,12,14,6,13,+1,pop
2013-11-09,Justin Timberlake,TKO,12,16,6,14,+2,pop
2013-11-02,Justin Timberlake,TKO,12,16,4,16,0,pop
2013-10-26,Justin Timberlake,TKO,12,23,3,16,+7,pop
2013-10-19,Justin Timberlake,TKO,12,35,2,23,+12,pop
2013-10-12,Justin Timberlake,TKO,12,0,1,35,Hot Shot Debut,pop
2013-10-05,Justin Timberlake,Take Back The Night,14,23,11,36,-13,pop
2013-09-28,Justin Timberlake,Take Back The Night,14,17,10,23,-6,pop
2013-09-21,Justin Timberlake,Take Back The Night,14,14,9,17,-3,pop
2013-09-14,Justin Timberlake,Take Back The Night,14,15,8,14,+1,pop
2013-09-07,Justin Timberlake,Take Back The Night,14,14,7,15,-1,pop
2013-08-31,Justin Timberlake,Take Back The Night,14,14,6,14,0,pop
2013-08-24,Justin Timberlake,Take Back The Night,14,18,5,14,+4,pop
2013-08-24,Justin Timberlake,Mirrors,1,14,20,15,-1,pop
2013-08-17,Justin Timberlake,Mirrors,1,14,19,14,0,pop
2013-08-17,Justin Timberlake,Take Back The Night,14,18,4,18,0,pop
2013-08-10,Justin Timberlake,Mirrors,1,11,18,14,-3,pop
2013-08-10,Justin Timberlake,Take Back The Night,14,20,3,18,+2,pop
2013-08-03,Justin Timberlake,Mirrors,1,8,17,11,-3,pop
2013-08-03,Justin Timberlake,Take Back The Night,14,30,2,20,+10,pop
2013-07-27,Justin Timberlake,Mirrors,1,6,16,8,-2,pop
2013-07-27,Justin Timberlake,Take Back The Night,14,0,1,30,Hot Shot Debut,pop
2013-07-20,Justin Timberlake,Mirrors,1,6,15,6,0,pop
2013-07-13,Justin Timberlake,Mirrors,1,3,14,6,-3,pop
2013-07-06,Justin Timberlake,Mirrors,1,2,13,3,-1,pop
2013-06-29,Justin Timberlake,Mirrors,1,2,12,2,0,pop
2013-06-22,Justin Timberlake,Mirrors,1,1,11,2,-1,pop
2013-06-15,Justin Timberlake,Mirrors,1,1,10,1,0,pop
2013-06-08,Justin Timberlake,Mirrors,1,1,9,1,0,pop
2013-06-01,Justin Timberlake,Mirrors,1,2,8,1,+1,pop
2013-05-25,Justin Timberlake,Mirrors,1,3,7,2,+1,pop
2013-05-18,Justin Timberlake,Mirrors,1,5,6,3,+2,pop
2013-05-11,Justin Timberlake,Mirrors,1,9,5,5,+4,pop
2013-05-04,Justin Timberlake,Mirrors,1,14,4,9,+5,pop
2013-04-27,Justin Timberlake,Mirrors,1,23,3,14,+9,pop
2013-04-20,Justin Timberlake,Mirrors,1,26,2,23,+3,pop
2013-04-13,Justin Timberlake,Mirrors,1,0,1,26,Hot Shot Debut,pop
2007-12-01,Justin Timberlake,LoveStoned,4,20,20,22,-2,pop
2007-11-24,Justin Timberlake,LoveStoned,4,13,19,20,-7,pop
2007-11-17,Justin Timberlake,LoveStoned,4,10,18,13,-3,pop
2007-11-10,Justin Timberlake,LoveStoned,4,6,17,10,-4,pop
2007-11-03,Justin Timberlake,LoveStoned,4,5,16,6,-1,pop
2007-10-27,Justin Timberlake,LoveStoned,4,4,15,5,-1,pop
2007-10-20,Justin Timberlake,LoveStoned,4,4,14,4,0,pop
2007-10-13,Justin Timberlake,LoveStoned,4,4,13,4,0,pop
2007-10-06,Justin Timberlake,LoveStoned,4,4,12,4,0,pop
2007-09-29,Justin Timberlake,LoveStoned,4,6,11,4,+2,pop
2007-09-22,Justin Timberlake,LoveStoned,4,6,10,6,0,pop
2007-09-15,Justin Timberlake,LoveStoned,4,6,9,6,0,pop
2007-09-08,Justin Timberlake,LoveStoned,4,7,8,6,+1,pop
2007-09-08,Justin Timberlake,Summer Love,1,16,21,19,-3,pop
2007-09-01,Justin Timberlake,LoveStoned,4,9,7,7,+2,pop
2007-09-01,Justin Timberlake,Summer Love,1,12,20,16,-4,pop
2007-08-25,Justin Timberlake,LoveStoned,4,11,6,9,+2,pop
2007-08-25,Justin Timberlake,Summer Love,1,9,19,12,-3,pop
2007-08-18,Justin Timberlake,Summer Love,1,7,18,9,-2,pop
2007-08-18,Justin Timberlake,LoveStoned,4,19,5,11,+8,pop
2007-08-11,Justin Timberlake,Summer Love,1,6,17,7,-1,pop
2007-08-11,Justin Timberlake,LoveStoned,4,24,4,19,+5,pop
2007-08-04,Justin Timberlake,Summer Love,1,3,16,6,-3,pop
2007-08-04,Justin Timberlake,LoveStoned,4,30,3,24,+6,pop
2007-07-28,Justin Timberlake,Summer Love,1,2,15,3,-1,pop
2007-07-28,Justin Timberlake,LoveStoned,4,37,2,30,+7,pop
2007-07-21,Justin Timberlake,Summer Love,1,1,14,2,-1,pop
2007-07-21,Justin Timberlake,LoveStoned,4,0,1,37,Hot Shot Debut,pop
2007-07-14,Justin Timberlake,Summer Love,1,1,13,1,0,pop
2007-07-07,Justin Timberlake,Summer Love,1,1,12,1,0,pop
2007-06-30,Justin Timberlake,Summer Love,1,1,11,1,0,pop
2007-06-23,Justin Timberlake,Summer Love,1,3,10,1,+2,pop
2007-06-16,Justin Timberlake,Summer Love,1,4,9,3,+1,pop
2007-06-09,Justin Timberlake,Summer Love,1,5,8,4,+1,pop
2007-06-02,Justin Timberlake,Summer Love,1,9,7,5,+4,pop
2007-05-26,Justin Timberlake,Summer Love,1,10,6,9,+1,pop
2007-05-19,Justin Timberlake,Summer Love,1,16,5,10,+6,pop
2007-05-19,Justin Timberlake,What Goes Around...Comes Around,1,15,22,19,-4,pop
2007-05-12,Justin Timberlake,What Goes Around...Comes Around,1,9,21,15,-6,pop
2007-05-12,Justin Timberlake,Summer Love,1,20,4,16,+4,pop
2007-05-05,Justin Timberlake,What Goes Around...Comes Around,1,8,20,9,-1,pop
2007-05-05,Justin Timberlake,Summer Love,1,27,3,20,+7,pop
2007-04-28,Justin Timberlake,What Goes Around...Comes Around,1,6,19,8,-2,pop
2007-04-28,Justin Timberlake,Summer Love,1,39,2,27,+12,pop
2007-04-21,Justin Timberlake,What Goes Around...Comes Around,1,4,18,6,-2,pop
2007-04-21,Justin Timberlake,Summer Love,1,0,1,39,New,pop
2007-04-14,Justin Timberlake,What Goes Around...Comes Around,1,2,17,4,-2,pop
2007-04-07,Justin Timberlake,What Goes Around...Comes Around,1,2,16,2,0,pop
2007-03-31,Justin Timberlake,What Goes Around...Comes Around,1,1,15,2,-1,pop
2007-03-24,Justin Timberlake,What Goes Around...Comes Around,1,2,14,1,+1,pop
2007-03-17,Justin Timberlake,What Goes Around...Comes Around,1,2,13,2,0,pop
2007-03-10,Justin Timberlake,What Goes Around...Comes Around,1,2,12,2,0,pop
2007-03-03,Justin Timberlake,What Goes Around...Comes Around,1,3,11,2,+1,pop
2007-02-24,Justin Timberlake,What Goes Around...Comes Around,1,3,10,3,0,pop
2007-02-17,Justin Timberlake,What Goes Around...Comes Around,1,3,9,3,0,pop
2007-02-10,Justin Timberlake,What Goes Around...Comes Around,1,5,8,3,+2,pop
2007-02-03,Justin Timberlake,What Goes Around...Comes Around,1,9,7,5,+4,pop
2007-01-27,Justin Timberlake,What Goes Around...Comes Around,1,11,6,9,+2,pop
2007-01-20,Justin Timberlake,What Goes Around...Comes Around,1,16,5,11,+5,pop
2007-01-13,Justin Timberlake,What Goes Around...,16,17,4,16,+1,pop
2007-01-13,Justin Timberlake,SexyBack,1,20,26,19,+1,pop
2007-01-06,Justin Timberlake,What Goes Around...,16,22,3,17,+5,pop
2007-01-06,Justin Timberlake,SexyBack,1,19,25,20,-1,pop
2006-12-30,Justin Timberlake,SexyBack,1,19,24,19,0,pop
2006-12-30,Justin Timberlake,What Goes Around...,16,36,2,22,+14,pop
2006-12-23,Justin Timberlake,SexyBack,1,16,23,19,-3,pop
2006-12-23,Justin Timberlake,What Goes Around...,16,0,1,36,Hot Shot Debut,pop
2006-12-16,Justin Timberlake,SexyBack,1,12,22,16,-4,pop
2006-12-09,Justin Timberlake,SexyBack,1,10,21,12,-2,pop
2006-12-02,Justin Timberlake,SexyBack,1,8,20,10,-2,pop
2006-11-25,Justin Timberlake,SexyBack,1,6,19,8,-2,pop
2006-11-18,Justin Timberlake,SexyBack,1,5,18,6,-1,pop
2006-11-11,Justin Timberlake,SexyBack,1,4,17,5,-1,pop
2006-11-04,Justin Timberlake,SexyBack,1,2,16,4,-2,pop
2006-10-28,Justin Timberlake,SexyBack,1,1,15,2,-1,pop
2006-10-21,Justin Timberlake,SexyBack,1,1,14,1,0,pop
2006-10-14,Justin Timberlake,SexyBack,1,1,13,1,0,pop
2006-10-07,Justin Timberlake,SexyBack,1,1,12,1,0,pop
2006-09-30,Justin Timberlake,SexyBack,1,1,11,1,0,pop
2006-09-23,Justin Timberlake,SexyBack,1,2,10,1,+1,pop
2006-09-16,Justin Timberlake,SexyBack,1,3,9,2,+1,pop
2006-09-09,Justin Timberlake,SexyBack,1,5,8,3,+2,pop
2006-09-02,Justin Timberlake,SexyBack,1,7,7,5,+2,pop
2006-08-26,Justin Timberlake,SexyBack,1,10,6,7,+3,pop
2006-08-19,Justin Timberlake,SexyBack,1,12,5,10,+2,pop
2006-08-12,Justin Timberlake,SexyBack,1,15,4,12,+3,pop
2006-08-05,Justin Timberlake,SexyBack,1,24,3,15,+9,pop
2006-07-29,Justin Timberlake,SexyBack,1,37,2,24,+13,pop
2006-07-22,Justin Timberlake,SexyBack,1,0,1,37,Hot Shot Debut,pop
2003-11-22,Justin Timberlake,Senorita,5,38,18,39,-1,pop
2003-11-15,Justin Timberlake,Senorita,5,36,17,38,-2,pop
2003-11-08,Justin Timberlake,Senorita,5,29,16,36,-7,pop
2003-11-01,Justin Timberlake,Senorita,5,23,15,29,-6,pop
2003-10-25,Justin Timberlake,Senorita,5,15,14,23,-8,pop
2003-10-18,Justin Timberlake,Senorita,5,13,13,15,-2,pop
2003-10-11,Justin Timberlake,Senorita,5,11,12,13,-2,pop
2003-10-04,Justin Timberlake,Senorita,5,5,11,11,-6,pop
2003-09-27,Justin Timberlake,Senorita,5,5,10,5,0,pop
2003-09-20,Justin Timberlake,Senorita,5,6,9,5,+1,pop
2003-09-13,Justin Timberlake,Senorita,5,7,8,6,+1,pop
2003-09-13,Justin Timberlake,Rock Your Body,1,33,26,36,-3,pop
2003-09-06,Justin Timberlake,Senorita,5,10,7,7,+3,pop
2003-09-06,Justin Timberlake,Rock Your Body,1,31,25,33,-2,pop
2003-08-30,Justin Timberlake,Senorita,5,13,6,10,+3,pop
2003-08-30,Justin Timberlake,Rock Your Body,1,22,24,31,-9,pop
2003-08-23,Justin Timberlake,Senorita,5,15,5,13,+2,pop
2003-08-23,Justin Timberlake,Rock Your Body,1,22,23,22,0,pop
2003-08-16,Justin Timberlake,Senorita,5,15,4,15,0,pop
2003-08-16,Justin Timberlake,Rock Your Body,1,16,22,22,-6,pop
2003-08-09,Justin Timberlake,Senorita,5,24,3,15,+9,pop
2003-08-09,Justin Timberlake,Rock Your Body,1,16,21,16,0,pop
2003-08-02,Justin Timberlake,Rock Your Body,1,14,20,16,-2,pop
2003-08-02,Justin Timberlake,Senorita,5,31,2,24,+7,pop
2003-07-26,Justin Timberlake,Rock Your Body,1,9,19,14,-5,pop
2003-07-26,Justin Timberlake,Senorita,5,0,1,31,Hot Shot Debut,pop
2003-07-19,Justin Timberlake,Rock Your Body,1,10,18,9,+1,pop
2003-07-12,Justin Timberlake,Rock Your Body,1,6,17,10,-4,pop
2003-07-05,Justin Timberlake,Rock Your Body,1,4,16,6,-2,pop
2003-06-28,Justin Timberlake,Rock Your Body,1,3,15,4,-1,pop
2003-06-21,Justin Timberlake,Rock Your Body,1,2,14,3,-1,pop
2003-06-14,Justin Timberlake,Rock Your Body,1,1,13,2,-1,pop
2003-06-07,Justin Timberlake,Rock Your Body,1,1,12,1,0,pop
2003-05-31,Justin Timberlake,Rock Your Body,1,1,11,1,0,pop
2003-05-24,Justin Timberlake,Rock Your Body,1,1,10,1,0,pop
2003-05-17,Justin Timberlake,Rock Your Body,1,3,9,1,+2,pop
2003-05-10,Justin Timberlake,Rock Your Body,1,4,8,3,+1,pop
2003-05-10,Justin Timberlake,Cry Me A River,3,33,22,38,-5,pop
2003-05-03,Justin Timberlake,Rock Your Body,1,4,7,4,0,pop
2003-05-03,Justin Timberlake,Cry Me A River,3,29,21,33,-4,pop
2003-04-26,Justin Timberlake,Rock Your Body,1,4,6,4,0,pop
2003-04-26,Justin Timberlake,Cry Me A River,3,27,20,29,-2,pop
2003-04-19,Justin Timberlake,Rock Your Body,1,8,5,4,+4,pop
2003-04-19,Justin Timberlake,Cry Me A River,3,22,19,27,-5,pop
2003-04-12,Justin Timberlake,Rock Your Body,1,10,4,8,+2,pop
2003-04-12,Justin Timberlake,Cry Me A River,3,18,18,22,-4,pop
2003-04-05,Justin Timberlake,Rock Your Body,1,18,3,10,+8,pop
2003-04-05,Justin Timberlake,Cry Me A River,3,13,17,18,-5,pop
2003-03-29,Justin Timberlake,Cry Me A River,3,10,16,13,-3,pop
2003-03-29,Justin Timberlake,Rock Your Body,1,39,2,18,+21,pop
2003-03-22,Justin Timberlake,Cry Me A River,3,8,15,10,-2,pop
2003-03-22,Justin Timberlake,Rock Your Body,1,0,1,39,New,pop
2003-03-15,Justin Timberlake,Cry Me A River,3,7,14,8,-1,pop
