artist,title,pop_date,pop_peakPos,pop_lastPos,pop_weeks,pop_rank,pop_change,rnb_date,rnb_peakPos,rnb_lastPos,rnb_weeks,rnb_rank,rnb_change
D12,Purple Hills,9/8/01,40,0,2,40,Re-Entry,9/1/01,28,30,13,43,-13
SWV,I m So Into You,8/28/93,12,37,18,37,0,8/21/93,2,48,32,48,0
Monica,All Eyez On Me,9/14/02,37,38,2,37,1,9/7/02,32,43,10,50,-7
Rihanna Featuring Drake,What's My Name?,3/26/11,4,21,20,23,-2,4/23/11,8,38,26,43,-5
Salt-N-Pepa Featuring En Vogue,Whatta Man,8/6/94,10,35,26,37,-2,5/7/94,3,39,20,47,-8
The Black Eyed Peas,Imma Be,5/22/10,2,15,20,20,-5,7/17/10,12,44,19,48,-4
Usher Featuring Juicy J,I Don't Mind,4/18/15,17,24,16,32,-8,5/16/15,47,16,26,16,0
Will Smith,Just The Two Of Us,11/28/98,6,34,24,35,-1,10/31/98,20,34,16,37,-3
Robin Thicke Featuring Kendrick Lamar,Give It 2 U,11/23/13,13,23,13,37,-14,12/7/13,7,33,17,49,-16
Craig David,Fill Me In,1/26/02,7,29,26,37,-8,9/8/01,19,39,14,47,-8
Alex Clare,Too Close,12/22/12,5,8,26,10,-2,4/3/99,1,47,60,48,-1
CeCe Peniston,I m In The Mood,4/16/94,24,32,8,37,-5,5/28/94,7,39,22,45,-6
Keri Hilson,Pretty Girl Rock,5/21/11,20,38,16,40,-2,6/25/11,4,46,32,48,-2
US 3,Cantaloop (Flip Fantasia),7/2/94,15,37,21,35,2,4/23/94,21,34,20,41,-7
G-Eazy x Bebe Rexha,"Me, Myself & I",6/18/16,1,13,21,13,0,7/2/16,2,10,35,10,0
Smilez & Southstar,Tell Me (What's Goin' On),4/19/03,21,33,10,40,-7,3/15/03,28,28,15,39,-11
Fall Out Boy,I Don't Care,1/17/09,22,34,13,34,0,6/12/10,36,46,19,50,-4
Boyz II Men,4 Seasons Of Loneliness,1/31/98,9,35,21,35,0,3/14/98,2,49,25,50,-1
Rihanna,Don't Stop The Music,5/17/08,3,15,21,20,-5,2/14/98,26,37,20,45,-8
Destiny s Child,"No, No, No",8/15/98,40,37,19,38,-1,8/22/98,7,44,39,49,-5
Flo Rida Featuring Nelly Furtado,Jump,8/15/09,35,35,5,38,-3,7/4/92,2,31,19,42,-11
Omarion,O,5/14/05,24,26,8,35,-9,6/18/05,12,41,27,40,1
Boyz II Men,Water Runs Dry,10/14/95,2,25,26,27,-2,10/21/95,4,35,26,50,-15
Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,4/19/03,7,36,19,39,-3,3/1/03,5,40,20,43,-3
Alicia Keys,How Come You Don't Call Me,5/11/02,34,34,3,36,-2,6/8/02,30,37,12,48,-11
Uncle Sam,I Don't Ever Want To See You Again,4/11/98,28,29,15,28,1,4/11/98,2,14,33,19,-5
Bobby Brown,Get Away,4/3/93,17,25,9,33,-8,5/15/93,3,41,20,47,-6
Jennifer Lopez Featuring Ja Rule,Ain't It Funny,7/13/02,1,28,26,29,-1,6/15/02,4,44,27,50,-6
"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade,9/15/01,1,32,22,37,-5,7/7/01,43,43,9,43,0
Toya,I Do!!,3/2/02,6,18,28,20,-2,8/4/01,25,38,18,46,-8
Daya,Words,2/25/17,31,35,9,38,-3,4/23/11,23,37,22,49,-12
Aaliyah,More Than A Woman,7/20/02,19,27,10,35,-8,6/29/02,7,38,37,41,-3
En Vogue,Whatever,8/9/97,17,22,10,34,-12,4/23/05,34,45,25,49,-4
Ja Rule Featuring R. Kelly & Ashanti,Wonderful,2/5/05,23,22,10,27,-5,8/4/07,50,50,13,50,0
Keith Sweat Featuring Athena Cage,Nobody,6/21/97,12,37,26,36,1,3/29/14,38,38,2,40,-2
Ke$ha,Blow,6/25/11,3,11,21,14,-3,12/13/14,48,0,1,48,New
Jidenna Featuring Roman GianArthur,Classic Man,9/12/15,29,32,10,37,-5,10/24/15,8,16,26,18,-2
Beyonce,Run The World (Girls),5/28/11,37,37,2,37,0,6/18/11,30,32,7,44,-12
Beyonce,Single Ladies (Put A Ring On It),4/18/09,1,24,20,26,-2,5/2/09,1,46,28,44,2
N Sync,I Want You Back,7/25/98,11,21,26,26,-5,1/27/96,26,39,17,49,-10
Joe Featuring Mystikal,Stutter,7/14/01,12,32,19,39,-7,6/23/01,27,45,29,50,-5
Childish Gambino,V. 3005,10/11/14,39,39,2,39,0,8/9/14,19,22,33,19,3
Usher Featuring Lil Jon & Ludacris,Yeah!,9/18/04,1,19,33,19,0,9/11/04,1,43,37,50,-7
Coolio,Fantastic Voyage,10/8/94,28,33,10,35,-2,9/24/94,12,42,21,48,-6
Fetty Wap Featuring Remy Boyz,679,2/13/16,19,38,18,40,-2,2/6/16,3,9,30,10,-1
Sean Paul,Like Glue,9/27/03,29,31,7,33,-2,10/11/03,9,33,20,44,-11
Ne-Yo,Mad,6/6/09,11,30,20,29,1,10/22/16,45,0,1,45,New
Katy Perry,Rise,9/24/16,23,26,8,35,-9,12/20/97,38,39,20,38,1
Beyonce,Halo,8/22/09,2,19,26,17,2,7/11/09,16,37,17,45,-8
Montell Jordan,Get It On Tonite,6/24/00,19,37,17,39,-2,6/17/00,1,40,38,48,-8
50 Cent Featuring Olivia,Candy Shop,7/16/05,5,0,19,40,Re-Entry,6/4/05,1,32,19,46,-14
Ashanti,Foolish,10/5/02,2,40,26,40,0,8/2/08,29,37,18,48,-11
Edwin McCain,I ll Be,12/26/98,10,16,41,17,-1,6/28/97,44,41,20,49,-8
Britney Spears,Sometimes,9/18/99,6,34,19,36,-2,7/5/08,26,44,23,45,-1
Gwen Stefani,Hollaback Girl,10/8/05,1,32,26,30,2,9/24/05,8,39,22,47,-8
Big Sean,Bounce Back,3/18/17,24,29,3,27,2,3/18/17,3,4,17,5,-1
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,11/11/06,35,40,5,40,0,12/9/06,5,49,25,44,5
Ludacris Featuring Bobby Valentino,Pimpin' All Over The World,10/8/05,18,34,11,40,-6,10/15/05,5,37,20,41,-4
Shop Boyz,Party Like A Rockstar,10/6/07,10,37,18,40,-3,9/1/07,3,38,24,47,-9
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",6/17/06,26,35,12,38,-3,7/29/06,2,47,34,48,-1
Jennifer Lopez Featuring Big Pun,Feelin  So Good,4/29/00,27,31,10,38,-7,5/20/00,44,96,20,44,52
Jon B,Pretty Girl,12/30/95,29,34,11,37,-3,12/23/95,21,41,20,43,-2
Rihanna Featuring Drake,Work,6/25/16,8,39,20,39,0,8/27/16,30,10,29,10,0
Trillville Featuring Cutty,Some Cut,6/4/05,32,34,7,38,-4,7/2/05,7,42,35,49,-7
50 Cent,P.I.M.P.,12/6/03,9,37,17,36,1,11/22/03,2,32,33,48,-16
Michael Jackson,You Rock My World,10/27/01,16,23,7,37,-14,1/12/02,13,56,19,45,11
Twista Featuring Kanye West & Jamie Foxx,Slow Jamz,5/1/04,11,31,14,39,-8,5/8/04,1,29,26,35,-6
Nelly,(Hot S**t) Country Grammar,2/10/01,9,39,26,38,1,11/4/00,5,43,34,48,-5
Mariah Carey,Dreamlover,2/5/94,1,33,26,38,-5,2/12/94,2,44,27,50,-6
Cher Lloyd,Want U Back,10/27/12,9,30,20,31,-1,9/18/93,45,45,12,49,-4
Whitney Houston,When You Believe,1/23/99,35,37,8,40,-3,2/27/99,33,37,20,48,-11
Whitney Houston,It s Not Right But It s Okay,11/6/99,23,37,20,37,0,9/18/99,7,43,35,47,-4
Ashanti,Only U,3/19/05,19,30,8,40,-10,2/26/05,10,28,17,40,-12
Tevin Campbell,Back To The World,7/27/96,30,33,7,39,-6,8/24/96,16,36,18,49,-13
Mariah Carey,Fantasy,3/2/96,1,23,26,22,1,3/16/96,1,41,25,45,-4
Nivea Featuring Lil Jon & YoungBloodZ,Okay,6/18/05,36,37,4,40,-3,6/4/05,14,39,27,47,-8
Beyonce,"Me, Myself And I",3/27/04,36,23,15,38,-15,6/19/04,2,40,33,40,0
Wiz Khalifa,Roll Up,8/6/11,15,36,15,40,-4,7/30/11,7,50,23,46,4
Bone Thugs-N-Harmony Featuring Akon,I Tried,8/4/07,15,35,15,40,-5,6/30/07,46,46,13,49,-3
Keith Sweat,Twisted,2/22/97,7,21,26,23,-2,2/1/97,1,48,33,49,-1
Jagged Edge With Nelly,Where The Party At,2/2/02,10,36,26,35,1,2/9/02,1,47,39,50,-3
Nelly,E.I.,3/10/01,19,39,14,39,0,2/17/01,10,40,23,35,5
Hinder,Better Than Me,7/7/07,14,23,20,21,2,8/21/99,47,47,14,47,0
Trey Songz Featuring T.I.,2 Reasons,12/1/12,27,36,11,38,-2,12/15/12,7,15,26,20,-5
Emeli Sande,My Kind Of Love,11/30/13,35,38,6,35,3,12/7/13,41,41,4,46,-5
Jessica Simpson Featuring Nick Lachey,Where You Are,5/13/00,22,29,9,36,-7,10/23/10,45,45,7,46,-1
Janet,Together Again,6/20/98,5,17,32,18,-1,4/4/98,8,42,20,49,-7
All-4-One,So Much In Love,5/28/94,6,29,16,38,-9,5/14/94,10,29,20,44,-15
Peabo Bryson,A Whole New World (Aladdin s Theme),5/15/93,1,37,20,40,-3,3/27/93,21,45,20,48,-3
Jade,"I Wanna Love You (From Class Act"")""",10/17/92,27,30,3,37,-7,10/31/92,7,21,20,38,-17
Drake,Started From The Bottom,5/18/13,40,0,1,40,New,8/24/13,2,23,27,23,0
Jay-Z,Izzo (H.O.V.A.),12/8/01,22,28,9,36,-8,12/1/01,4,37,20,47,-10
Eminem Featuring Nate Ruess,Headlights,5/10/14,25,30,9,34,-4,6/28/14,11,35,20,39,-4
T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),5/27/06,12,33,17,37,-4,5/13/06,10,42,21,47,-5
Tyrese,Sweet Lady,7/10/99,29,40,10,40,0,8/14/99,9,46,39,50,-4
Shinedown,Second Chance,8/22/09,3,17,25,19,-2,10/23/10,41,47,9,48,-1
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,12/12/15,9,31,14,37,-6,1/23/16,6,26,20,25,1
Mariah Carey Featuring Joe,Thank God I Found You,4/1/00,28,37,10,40,-3,5/6/00,23,49,23,48,1
The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,3/28/98,22,33,26,36,-3,2/14/98,2,44,29,43,1
Boyzone,No Matter What,8/7/99,35,35,3,35,0,6/28/08,42,47,7,50,-3
